Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
1,7,1,1,8,0,-10,-412462.9375,2526.389648,4697.29541,2528.875244,-18460.35938
1,8,2,1,9,0,-9.75,-412243.2813,2910.873779,4260.539551,2924.365234,-18768.48633
1,9,3,1,10,0,-9.5,-412007.6563,3331.35791,3722.783203,3327.855225,-19017.11328
1,10,4,1,11,0,-9.25,-411724.0313,3774.842285,3222.026855,3742.345215,-19193.74023
1,11,5,1,12,0,-9,-411472.4063,4218.326172,2779.270752,4175.834961,-19356.86719
,,,,,,-8.75,-411284.75,4645.810547,2290.514648,4608.325195,-19554.99609
,,,,,,-8.5,-411065.125,5061.294922,1717.758301,5027.81543,-19793.62305
,,,,,,-8.25,-410829.5,5462.778809,1137.002197,5439.305176,-20045.75
,,,,,,-8,-410577.875,5863.263184,603.2460938,5854.794922,-20280.87695
,,,,,,-7.75,-410342.2188,6302.747559,76.48986816,6297.285156,-20506.00391
,,,,,,-7.5,-410106.5938,6787.231445,-455.2663574,6762.774902,-20748.13086
,,,,,,-7.25,-409886.9688,7241.71582,-959.022583,7190.265137,-20997.25977
,,,,,,-7,-409779.3438,7576.200195,-1436.778809,7515.754883,-21251.38672
,,,,,,-6.75,-409831.6875,7760.684082,-1885.534912,7706.245117,-21531.01367
,,,,,,-6.5,-410012.0625,7849.168457,-2251.291016,7794.734863,-21834.14063
,,,,,,-6.25,-410224.4375,7941.652344,-2529.047363,7880.225098,-22160.76758
,,,,,,-6,-410452.8125,8074.136719,-2768.803467,8016.714844,-22507.89453
,,,,,,-5.75,-410713.1563,8181.621094,-2990.55957,8150.205078,-22815.02344
,,,,,,-5.5,-410989.5313,8217.105469,-3178.315918,8222.695313,-23033.15039
,,,,,,-5.25,-411265.9063,8223.588867,-3307.072021,8239.18457,-23223.27734
,,,,,,-5,-411574.2813,8223.073242,-3367.828369,8222.674805,-23474.4043
,,,,,,-4.75,-411930.625,8181.557617,-3390.584473,8173.165039,-23761.03125
,,,,,,-4.5,-412287,8089.041992,-3402.340576,8078.654785,-23982.1582
,,,,,,-4.25,-412627.375,7961.525879,-3407.096924,7940.144531,-24080.78516
,,,,,,-4,-412967.75,7835.010254,-3414.853027,7808.634766,-24074.41406
,,,,,,-3.75,-413308.0938,7761.494141,-3441.609375,7739.125,-24033.04102
,,,,,,-3.5,-413664.4688,7727.978516,-3496.365479,7706.614746,-24027.16797
,,,,,,-3.25,-414004.8438,7692.462891,-3560.121582,7672.104492,-24067.79492
,,,,,,-3,-414265.2188,7622.947266,-3560.87793,7613.594727,-24082.92188
,,,,,,-2.75,-414429.5625,7456.431152,-3425.634033,7466.084473,-23965.55078
,,,,,,-2.5,-414529.9375,7164.915527,-3145.390137,7179.574707,-23673.67773
,,,,,,-2.25,-414550.3125,6815.399414,-2789.146484,6810.064453,-23262.80469
,,,,,,-2,-414538.6875,6490.883789,-2429.902588,6458.554688,-22804.93164
,,,,,,-1.75,-414511.0313,6198.368164,-2026.658813,6150.044434,-22307.05859
,,,,,,-1.5,-414467.4063,5896.852051,-1501.415039,5834.534668,-21758.18555
,,,,,,-1.25,-414407.7813,5548.336426,-871.1712036,5473.024414,-21157.3125
,,,,,,-1,-414348.1563,5138.820313,-195.9274292,5075.514648,-20503.94141
,,,,,,-0.75,-414192.5,4690.304688,466.3164063,4662.004395,-19837.06836
,,,,,,-0.5,-413972.875,4228.789063,1080.560303,4233.494141,-19180.69531
,,,,,,-0.25,-413721.25,3780.272949,1652.803955,3793.984375,-18500.32227
,,,,,,0,-413453.625,3377.757324,2206.047852,3366.474365,-17785.94922
