Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
1,7,1,1,8,0,-10,-1468084.625,17624.71484375,-2991.6708984375,17616.19140625,-32668.076171875,
1,8,2,1,9,0,-9.75,-1645181.75,17223.45703125,-2470.0205078125,17200.935546875,-32824.29296875,
1,9,3,1,10,0,-9.5,-1797626.875,16808.703125,-1868.8701171875,16765.9296875,-33067.0078125,
1,10,4,1,11,0,-9.25,-1924412,16377.697265625,-1266.21948242188,16321.4248046875,-33373.97265625,
1,11,5,1,12,0,-9,-2025605,15872.94140625,-723.069091796875,15814.1689453125,-33649.4375,
,,,,,,-8.75,-2101162,15290.9365234375,-261.418701171875,15230.4140625,-33880.65234375,
,,,,,,-8.5,-2150579.25,14699.9306640625,133.23193359375,14651.1591796875,-34111.1171875,
,,,,,,-8.25,-2174716.25,14134.6748046875,486.38232421875,14108.9033203125,-34333.33203125,
,,,,,,-8,-2175301.5,13539.919921875,833.53271484375,13519.3984375,-34501.796875,
,,,,,,-7.75,-2153442.5,12847.9140625,1240.18310546875,12811.642578125,-34573.515625,
,,,,,,-7.5,-2110391.5,12097.908203125,1700.33361816406,12045.6376953125,-34568.23046875,
,,,,,,-7.25,-2047932.625,11356.6533203125,2136.48413085938,11308.8828125,-34546.4453125,
,,,,,,-7,-1967729.75,10603.1484375,2529.13452148438,10574.126953125,-34478.66015625,
,,,,,,-6.75,-1871162.75,9827.392578125,2869.78491210938,9801.3720703125,-34351.125,
,,,,,,-6.5,-1758135.875,9055.88671875,3131.93530273438,9012.8671875,-34262.58984375,
,,,,,,-6.25,-1627093,8262.880859375,3340.0859375,8218.361328125,-34259.3046875,
,,,,,,-6,-1476698.125,7401.1259765625,3558.236328125,7389.1064453125,-34285.0234375,
,,,,,,-5.75,-1306115.25,6496.3701171875,3807.88671875,6518.35107421875,-34289.23828125,
,,,,,,-5.5,-1115688.25,5641.86474609375,4058.037109375,5668.595703125,-34251.953125,
,,,,,,-5.25,-908441.3125,4853.609375,4314.1875,4861.59033203125,-34111.66796875,
,,,,,,-5,-689974.375,4040.60375976563,4604.337890625,4028.08544921875,-33795.6328125,
,,,,,,-4.75,-466931.5,3174.84838867188,4893.98828125,3156.080078125,-33329.34765625,
,,,,,,-4.5,-245324.59375,2348.3427734375,5126.138671875,2328.82470703125,-32815.0625,
,,,,,,-4.25,-29073.6875,1659.33740234375,5233.2890625,1625.81958007813,-32342.279296875,
,,,,,,-4,180129.21875,1136.83203125,5129.939453125,1085.064453125,-31953.244140625,
,,,,,,-3.75,383672.125,691.576171875,4849.59033203125,647.55908203125,-31621.708984375,
,,,,,,-3.5,585871.0625,213.57080078125,4551.24072265625,198.0537109375,-31289.17578125,
,,,,,,-3.25,790966,-311.9345703125,4343.89111328125,-309.45166015625,-30950.640625,
,,,,,,-3,1001684.875,-854.43994140625,4237.04150390625,-850.70654296875,-30636.60546875,
,,,,,,-2.75,1218099.75,-1348.44580078125,4158.69189453125,-1351.7119140625,-30350.3203125,
,,,,,,-2.5,1435790.75,-1734.451171875,4037.34228515625,-1749.21728515625,-30058.537109375,
,,,,,,-2.25,1647681.625,-2051.95654296875,3905.49291992188,-2070.72265625,-29716.751953125,
,,,,,,-2,1847704.5,-2342.7119140625,3796.64331054688,-2352.72802734375,-29333.466796875,
,,,,,,-1.75,2031631.5,-2530.4677734375,3665.29370117188,-2531.4833984375,-28946.181640625,
,,,,,,-1.5,2196784.25,-2542.22265625,3499.9443359375,-2544.98828125,-28519.3984375,
,,,,,,-1.25,2341825.25,-2427.728515625,3317.5947265625,-2441.49365234375,-27987.36328125,
,,,,,,-1,2465906.25,-2284.23388671875,3109.7451171875,-2298.7490234375,-27364.078125,
,,,,,,-0.75,2568979,-2158.48974609375,2906.3955078125,-2147.50390625,-26717.79296875,
,,,,,,-0.5,2650950,-2012.9951171875,2767.5458984375,-1973.50927734375,-26092.5078125,
,,,,,,-0.25,2710819,-1802.75048828125,2712.19653320313,-1767.0146484375,-25507.474609375,
,,,,,,0,2748773.75,-1561.755859375,2689.34692382813,-1557.02001953125,-24963.189453125,
,,,,,,0.25,2766538.75,-1340.76171875,2602.49731445313,-1337.02490234375,-24456.154296875,
,,,,,,0.5,2765217.75,-1102.01708984375,2379.14770507813,-983.2802734375,-24024.62109375,
,,,,,,0.75,2745790.5,-866.0224609375,2136.79809570313,-577.03564453125,-23646.5859375,
,,,,,,1,2710309.5,-797.52783203125,2139.94873046875,-487.541015625,-23156.55078125,
,,,,,,1.25,2660240.5,-922.28369140625,2422.59912109375,-749.54638671875,-22508.015625,
,,,,,,1.5,2595689.25,-1084.2890625,2788.24951171875,-1033.55126953125,-21853.98046875,
,,,,,,1.75,2515240.25,-1179.79443359375,3133.39990234375,-1162.806640625,-21279.447265625,
,,,,,,2,2415805.25,-1215.2998046875,3427.05029296875,-1185.81201171875,-20403.662109375,
,,,,,,2.25,2294660,-1211.8056640625,2933.70092773438,-1183.8173828125,-14601.126953125,
,,,,,,2.5,2151317,-1378.56103515625,-185.648681640625,-1383.822265625,7398.40625,
,,,,,,2.75,1987596,-2191.81640625,-6088.498046875,-2221.57763671875,46440.6953125,
,,,,,,3,1806386.75,-3681.572265625,-11643.34765625,-3704.3330078125,82602.4765625,
,,,,,,3.25,1610829.75,-5213.0771484375,-14345.197265625,-5218.087890625,99982.765625,
,,,,,,3.5,1404872.625,-6299.8330078125,-14584.046875,-6291.09375,101306.046875,
,,,,,,3.75,1193459.5,-6981.0888671875,-13631.396484375,-6964.8486328125,95310.328125,
,,,,,,4,980846.5,-7472.34375,-12256.74609375,-7450.853515625,87577.6171875,
,,,,,,4.25,769245.375,-7881.849609375,-10820.595703125,-7855.109375,80287.3984375,
,,,,,,4.5,558536.25,-8202.3544921875,-9493.9453125,-8173.1142578125,73942.6875,
,,,,,,4.75,346231.1875,-8402.1103515625,-8316.294921875,-8379.6201171875,68515.21875,
,,,,,,5,129574.09375,-8524.6162109375,-7245.14453125,-8520.375,63856,
,,,,,,5.25,-93174.984375,-8620.62109375,-6205.494140625,-8632.6298828125,59824.7890625,
,,,,,,5.5,-322696.0625,-8664.626953125,-5179.34326171875,-8673.3857421875,56287.0703125,
,,,,,,5.75,-556421.125,-8621.1328125,-4234.19287109375,-8612.640625,53068.359375,
,,,,,,6,-788026.25,-8477.1376953125,-3399.54248046875,-8469.396484375,50011.140625,
