Data Table,,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5,
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV),
1,7,1,1,8,0,-10,-193807.390625,-7979.931640625,6172.48828125,-7990.7802734375,-6026.83642578125,
1,8,2,1,9,0,-9.75,-194660.359375,-7401.23095703125,5662.845703125,-7424.083984375,-6571.6796875,
1,9,3,1,10,0,-9.5,-195337.328125,-6792.5302734375,5089.20361328125,-6813.3876953125,-7180.0224609375,
1,10,4,1,11,0,-9.25,-195630.296875,-6163.82958984375,4506.5615234375,-6182.69140625,-7798.865234375,
1,11,5,1,12,0,-9,-195619.265625,-5593.12890625,3971.91943359375,-5599.9951171875,-8354.2080078125,
,,,,,,-8.75,-195400.234375,-5144.427734375,3481.27734375,-5123.298828125,-8845.55078125,
,,,,,,-8.5,-195085.203125,-4805.72705078125,2999.63525390625,-4766.6025390625,-9297.39453125,
,,,,,,-8.25,-194802.171875,-4535.0263671875,2533.9931640625,-4497.90673828125,-9694.2373046875,
,,,,,,-8,-194599.140625,-4322.32568359375,2120.35107421875,-4289.21044921875,-10041.580078125,
,,,,,,-7.75,-194348.109375,-4151.625,1767.708984375,-4122.51416015625,-10359.9228515625,
,,,,,,-7.5,-193905.078125,-4008.92407226563,1473.06701660156,-3985.81811523438,-10613.265625,
,,,,,,-7.25,-193238.046875,-3882.22314453125,1221.42492675781,-3871.12182617188,-10768.6083984375,
,,,,,,-7,-192475.015625,-3765.5224609375,978.78271484375,-3766.42578125,-10827.951171875,
,,,,,,-6.75,-191775.984375,-3644.82177734375,723.140625,-3649.7294921875,-10813.294921875,
,,,,,,-6.5,-191156.953125,-3538.12084960938,486.49853515625,-3545.033203125,-10750.1376953125,
,,,,,,-6.25,-190585.921875,-3471.42016601563,326.8564453125,-3468.33715820313,-10634.48046875,
,,,,,,-6,-189950.875,-3428.71923828125,236.21435546875,-3423.64086914063,-10438.8232421875,
,,,,,,-5.75,-189251.84375,-3432.0185546875,180.572265625,-3440.94482421875,-10153.666015625,
,,,,,,-5.5,-188488.8125,-3531.31787109375,193.93017578125,-3564.24853515625,-9805.5087890625,
,,,,,,-5.25,-187709.78125,-3704.61694335938,304.2880859375,-3755.55224609375,-9447.8515625,
,,,,,,-5,-186850.75,-3855.91625976563,457.64599609375,-3902.85620117188,-9150.1953125,
,,,,,,-4.75,-185847.71875,-3917.21557617188,604.00390625,-3942.15991210938,-8944.0380859375,
,,,,,,-4.5,-184716.6875,-3912.5146484375,771.36181640625,-3935.4638671875,-8775.380859375,
,,,,,,-4.25,-183521.65625,-3927.81396484375,1022.7197265625,-3978.767578125,-8579.7236328125,
,,,,,,-4,-182390.625,-4007.11303710938,1383.07763671875,-4092.0712890625,-8358.56640625,
,,,,,,-3.75,-181387.59375,-4128.412109375,1812.435546875,-4229.375,-8130.40966796875,
,,,,,,-3.5,-180496.5625,-4261.71142578125,2241.79345703125,-4356.67919921875,-7875.25244140625,
,,,,,,-3.25,-179749.53125,-4391.0107421875,2625.1513671875,-4457.98291015625,-7595.59521484375,
,,,,,,-3,-179194.5,-4468.31005859375,2976.50927734375,-4499.28662109375,-7351.4384765625,
,,,,,,-2.75,-178815.46875,-4433.609375,3322.8671875,-4452.59033203125,-7195.28125,
,,,,,,-2.5,-178532.4375,-4318.90869140625,3669.22509765625,-4327.89404296875,-7120.1240234375,
,,,,,,-2.25,-178233.40625,-4192.20751953125,3991.5830078125,-4171.1982421875,-7115.466796875,
,,,,,,-2,-177774.375,-4035.5068359375,4238.94091796875,-3992.501953125,-7193.81005859375,
,,,,,,-1.75,-177139.34375,-3802.80615234375,4403.298828125,-3767.8056640625,-7347.15283203125,
,,,,,,-1.5,-176376.3125,-3478.10546875,4489.65673828125,-3467.109375,-7567.99609375,
,,,,,,-1.25,-175613.28125,-3075.40454101563,4501.0146484375,-3074.41333007813,-7856.3388671875,
,,,,,,-1,-174994.25,-2612.70361328125,4484.37255859375,-2609.71728515625,-8148.181640625,
,,,,,,-0.75,-174535.203125,-2100.0029296875,4498.73046875,-2095.02099609375,-8369.5244140625,
,,,,,,-0.5,-174188.171875,-1551.30224609375,4518.08837890625,-1544.32470703125,-8545.8671875,
,,,,,,-0.25,-173985.140625,-968.6015625,4454.4462890625,-957.628662109375,-8766.2109375,
,,,,,,0,-173862.109375,-307.900634765625,4298.80419921875,-300.932373046875,-9078.5537109375,
,,,,,,0.25,-173675.078125,488.80029296875,4067.162109375,501.763671875,-9486.396484375,
,,,,,,0.5,-173376.046875,1431.5009765625,3657.52001953125,1530.4599609375,-9991.2392578125,
,,,,,,0.75,-172997.015625,2436.20166015625,3159.8779296875,2663.15625,-10479.08203125,
,,,,,,1,-172729.984375,3350.90234375,2903.23559570313,3605.8525390625,-10738.9248046875,
,,,,,,1.25,-172638.953125,4143.603515625,2907.59350585938,4314.548828125,-10777.267578125,
,,,,,,1.5,-172595.921875,4880.3037109375,2894.95141601563,4977.2451171875,-10786.611328125,
,,,,,,1.75,-172472.890625,5633.0048828125,2726.30932617188,5693.94140625,-10874.4541015625,
,,,,,,2,-170749.859375,6385.705078125,2410.66723632813,6426.63671875,-10902.296875,
,,,,,,2.25,-144738.828125,6728.40625,1766.02514648438,6747.3330078125,-9024.1396484375,
,,,,,,2.5,-31975.796875,6115.107421875,228.383056640625,6104.029296875,-967.982421875,
,,,,,,2.75,186275.25,5113.8076171875,-2235.2587890625,5078.7255859375,13383.673828125,
,,,,,,3,412830.25,4906.5087890625,-4596.90087890625,4863.421875,26505.33203125,
,,,,,,3.25,549897.3125,5527.208984375,-6039.54296875,5490.1181640625,32679.98828125,
,,,,,,3.5,595044.3125,6341.91015625,-6664.185546875,6298.814453125,33060.14453125,
,,,,,,3.75,589583.375,7042.611328125,-6885.8271484375,6979.5107421875,30852.8046875,
,,,,,,4,564938.375,7539.3115234375,-6994.4697265625,7464.20703125,28074.9609375,
,,,,,,4.25,535877.4375,7828.0126953125,-7088.111328125,7766.90234375,25476.6171875,
,,,,,,4.5,507376.4375,7964.712890625,-7180.75390625,7931.5986328125,23167.2734375,
,,,,,,4.75,480571.5,8009.4140625,-7280.3955078125,7990.294921875,21119.431640625,
,,,,,,5,455510.5,7946.115234375,-7342.0380859375,7918.9912109375,19337.587890625,
,,,,,,5.25,430465.5625,7776.8154296875,-7255.6796875,7729.6875,17780.74609375,
,,,,,,5.5,383612.5625,7503.5166015625,-6633.322265625,7454.3837890625,15978.90234375,
,,,,,,5.75,291095.625,6600.216796875,-5318.96435546875,6573.080078125,13691.55859375,
,,,,,,6,199122.65625,4996.91796875,-4320.6064453125,4993.7763671875,11975.716796875,
,,,,,,6.25,172941.6875,3949.61865234375,-4446.24853515625,3962.47216796875,11535.873046875,
,,,,,,6.5,194872.71875,3932.3193359375,-5048.890625,3943.16845703125,11572.53125,
,,,,,,6.75,217875.75,4141.0205078125,-5355.53271484375,4147.8642578125,11401.1875,
,,,,,,7,227742.78125,4073.72119140625,-5286.1748046875,4084.560546875,11010.845703125,
,,,,,,7.25,227625.8125,3744.421875,-5006.81689453125,3757.2568359375,10487.001953125,
,,,,,,7.5,222772.84375,3263.12255859375,-4604.458984375,3269.953125,9915.658203125,
,,,,,,7.75,216335.875,2735.8232421875,-4141.10107421875,2750.6494140625,9337.81640625,
,,,,,,8,209690.90625,2286.5244140625,-3718.7431640625,2297.345703125,8752.47265625,
,,,,,,8.25,203237.9375,1891.22509765625,-3344.38525390625,1882.0419921875,8228.130859375,
,,,,,,8.5,196992.96875,1443.92578125,-2920.02734375,1418.73779296875,7857.787109375,
,,,,,,8.75,191020,888.62646484375,-2404.66943359375,861.43408203125,7651.9443359375,
,,,,,,9,185367.03125,217.3271484375,-1834.3115234375,188.13037109375,7572.6015625,
,,,,,,9.25,180050.0625,-555.971923828125,-1250.95336914063,-581.17333984375,7590.7587890625,
,,,,,,9.5,175021.09375,-1385.27099609375,-665.595703125,-1394.47729492188,7680.916015625,
,,,,,,9.75,170200.125,-2250.5703125,-57.23779296875,-2233.78100585938,7861.572265625,
,,,,,,10,165571.15625,-3129.86962890625,592.120239257813,-3099.0849609375,8176.73046875,
,,,,,,10.25,161182.1875,-3935.16870117188,1224.47814941406,-3912.388671875,8557.38671875,
,,,,,,10.5,157097.21875,-4568.4677734375,1773.83605957031,-4569.6923828125,8897.04296875,
,,,,,,10.75,153364.25,-5093.76708984375,2272.19384765625,-5126.99609375,9230.701171875,
,,,,,,11,149951.28125,-5691.06640625,2787.5517578125,-5744.30029296875,9646.357421875,
,,,,,,11.25,146682.3125,-6456.36572265625,3334.90966796875,-6497.60400390625,10130.015625,
,,,,,,11.5,143525.34375,-7333.6650390625,3893.267578125,-7350.90771484375,10616.171875,
,,,,,,11.75,140512.375,-8256.9638671875,4448.62548828125,-8266.2109375,11090.830078125,
,,,,,,12,136331.4375,-9206.263671875,5037.9833984375,-9223.515625,11474.486328125,
