Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
1,7,1,1,8,0,-10,-305373.7813,13003.85742,-9533.514648,12981.61719,-22791.37109
1,8,2,1,9,0,-9.75,-305443.0625,13035.92676,-9373.263672,12965.68164,-22757.71289
1,9,3,1,10,0,-9.5,-305408.3438,13037.99609,-9190.011719,12941.74609,-22669.55469
1,10,4,1,11,0,-9.25,-305237.6563,13002.06445,-8949.759766,12893.81055,-22504.89648
1,11,5,1,12,0,-9,-304986.9375,12922.13477,-8626.507813,12819.875,-22264.23828
,,,,,,-8.75,-304768.2188,12806.20313,-8274.255859,12727.93945,-22012.58203
,,,,,,-8.5,-304621.5313,12632.27246,-7922.004395,12589.00391,-21797.92188
,,,,,,-8.25,-304538.8125,12377.3418,-7543.75293,12364.06836,-21565.26563
,,,,,,-8,-304456.125,12063.41016,-7108.500977,12063.13281,-21246.10742
,,,,,,-7.75,-304277.4063,11734.47949,-6603.249023,11735.19629,-20849.94922
,,,,,,-7.5,-304018.6875,11421.54883,-6069.997559,11423.26074,-20433.79102
,,,,,,-7.25,-303720,11144.61719,-5553.745605,11156.3252,-20041.13281
,,,,,,-7,-303397.2813,10898.68652,-5069.494141,10920.38965,-19648.47461
,,,,,,-6.75,-303074.5938,10635.75586,-4631.242188,10653.45313,-19221.31641
,,,,,,-6.5,-302807.875,10309.8252,-4217.990234,10315.51758,-18781.6582
,,,,,,-6.25,-302597.1563,9947.894531,-3785.738525,9944.582031,-18375
,,,,,,-6,-302402.4688,9591.962891,-3326.486816,9590.646484,-17997.3418
,,,,,,-5.75,-302207.75,9214.032227,-2831.235107,9209.710938,-17595.18359
,,,,,,-5.5,-302045.0313,8748.101563,-2280.983398,8726.775391,-17145.02539
,,,,,,-5.25,-301914.3438,8172.17041,-1697.731445,8148.839844,-16678.86719
,,,,,,-5,-301775.625,7540.239258,-1124.479736,7526.904297,-16234.20996
,,,,,,-4.75,-301636.9375,6918.308594,-571.2279663,6908.96875,-15824.05176
,,,,,,-4.5,-301530.2188,6322.377441,-24.97619629,6323.032715,-15449.39355
,,,,,,-4.25,-301495.5,5706.446777,519.2755127,5725.097168,-15100.73633
,,,,,,-4,-301524.8125,5024.515625,1053.527344,5048.161621,-14742.57813
,,,,,,-3.75,-301602.0938,4301.584961,1601.779053,4310.225586,-14343.41992
,,,,,,-3.5,-301671.4063,3593.653809,2201.030762,3574.290283,-13921.76172
,,,,,,-3.25,-301692.6875,2907.7229,2840.282471,2862.354492,-13495.60352
,,,,,,-3,-301697.9688,2223.791992,3449.53418,2171.418945,-13070.94531
,,,,,,-2.75,-301751.2813,1553.861328,3965.786133,1511.483398,-12698.78711
,,,,,,-2.5,-301852.5625,938.9301758,4401.038086,901.5473633,-12400.12891
,,,,,,-2.25,-301985.8438,395.9995117,4832.289551,339.6118164,-12121.47168
,,,,,,-2,-302119.1563,-103.9316406,5318.541504,-200.3237305,-11812.31348
,,,,,,-1.75,-302252.4375,-604.862793,5827.792969,-710.2592773,-11486.15527
,,,,,,-1.5,-302425.75,-1089.793457,6279.044922,-1147.195313,-11217.99805
,,,,,,-1.25,-302623.0313,-1513.724609,6667.296875,-1515.130859,-11024.83984
,,,,,,-1,-302796.3125,-1908.655273,7062.54834,-1890.066406,-10821.68164
,,,,,,-0.75,-302921.625,-2311.585938,7517.799805,-2304.001953,-10560.02344
,,,,,,-0.5,-302982.9063,-2672.517578,7987.051758,-2688.9375,-10272.86523
,,,,,,-0.25,-302988.2188,-2951.448242,8374.303711,-2985.873047,-10002.70703
,,,,,,0,-302953.5,-3174.378906,8704.555664,-3214.80957,-9757.548828
,,,,,,0.25,-302910.7813,-3315.30957,9015.807617,-3344.745117,-9568.390625
,,,,,,0.5,-302916.0938,-3329.241211,9182.058594,-3265.680664,-9510.232422
,,,,,,0.75,-302993.375,-3328.171875,9242.310547,-3131.616211,-9491.574219
,,,,,,1,-303110.6875,-3506.102539,9458.5625,-3295.551758,-9281.916992
,,,,,,1.25,-303315.9688,-3852.033203,9823.814453,-3740.487305,-8906.258789
,,,,,,1.5,-303609.25,-4154.964844,10107.06641,-4134.422852,-8596.600586
,,,,,,1.75,-303870.5625,-4304.895508,10233.31836,-4330.358398,-8434.942383
,,,,,,2,-302107.8438,-4391.826172,10218.56934,-4426.293945,-8206.78418
,,,,,,2.25,-268425.125,-4929.756836,9766.821289,-4950.230469,-5616.626953
,,,,,,2.5,-119366.4375,-6596.688477,8097.073242,-6593.166016,4763.53125
,,,,,,2.75,173804.2813,-8684.619141,5157.324707,-8658.101563,23197.69141
,,,,,,3,486711,-9652.549805,2277.57666,-9612.037109,40133.84766
,,,,,,3.25,688657.6875,-9435.480469,527.8284912,-9405.972656,48168.50391
,,,,,,3.5,770892.375,-8930.412109,-192.9197388,-8927.908203,48709.66406
,,,,,,3.75,783863.125,-8596.342773,-382.6679688,-8599.84375,45878.82031
,,,,,,4,767817.75,-8483.273438,-397.4162598,-8464.779297,42269.98047
,,,,,,4.25,742460.5,-8485.205078,-427.1644897,-8446.71582,38882.13672
,,,,,,4.5,715047.25,-8471.135742,-551.9127197,-8439.651367,35920.29688
,,,,,,4.75,687641.9375,-8396.066406,-756.6609497,-8374.586914,33338.95313
,,,,,,5,660716.625,-8302.99707,-970.4091797,-8278.522461,31079.61328
,,,,,,5.25,634511.3125,-8228.928711,-1156.157471,-8214.458008,29109.76953
,,,,,,5.5,609178.0625,-8166.859375,-1376.90564,-8168.393555,27353.92969
,,,,,,5.75,584812.75,-8094.790039,-1678.653809,-8095.329102,25721.58594
,,,,,,6,561511.4375,-8023.720703,-2029.4021,-8001.264648,24194.74609
,,,,,,6.25,539370.1875,-7939.652344,-2374.150391,-7889.201172,22775.40234
,,,,,,6.5,518436.875,-7755.583008,-2695.898438,-7700.136719,21423.05859
,,,,,,6.75,498719.5625,-7431.513672,-3003.646973,-7399.072266,20134.71875
,,,,,,7,480202.3125,-7073.444336,-3272.39502,-7062.007813,18988.875
,,,,,,7.25,462805,-6820.375977,-3466.143311,-6800.943359,18068.53516
,,,,,,7.5,446415.6875,-6700.306641,-3611.891602,-6653.878906,17361.69141
,,,,,,7.75,430906.4375,-6620.237305,-3767.639648,-6556.814453,16758.85156
,,,,,,8,416269.125,-6471.167969,-3966.387939,-6424.75,16142.00781
,,,,,,8.25,402527.8125,-6248.099609,-4191.13623,-6235.685547,15495.16602
,,,,,,8.5,389650.5,-6034.030273,-4365.884766,-6036.62207,14922.32422
,,,,,,8.75,377613.25,-5852.960938,-4437.632813,-5846.557617,14487.98242
,,,,,,9,366359.9375,-5632.891602,-4450.380859,-5626.493164,14139.14063
