Data Table,,,,,,,,,,,
Step,Column,Chan,Result,Column,Trials,Step 1,Chan 1,Chan 2,Chan 3,Chan 4,Chan 5
,,,,,,Time (ms),Result (nV),Result (nV),Result (nV),Result (nV),Result (nV)
1,7,1,1,8,0,-10,-73967.98438,-3080.438965,1492.858765,-3121.503906,-6905.605469
1,8,2,1,9,0,-9.75,-73264.36719,-3049.934082,1524.713379,-3108.990234,-6683.878906
1,9,3,1,10,0,-9.5,-72656.75,-3031.428711,1539.567871,-3088.476807,-6500.152832
1,10,4,1,11,0,-9.25,-72113.13281,-3048.923584,1527.422363,-3083.963135,-6398.42627
1,11,5,1,12,0,-9,-71665.51563,-3038.418457,1513.276978,-3063.449707,-6358.700195
,,,,,,-8.75,-71217.89844,-2967.91333,1536.13147,-2996.936035,-6292.973633
,,,,,,-8.5,-70834.28125,-2873.408203,1603.986084,-2898.422363,-6149.24707
,,,,,,-8.25,-70482.66406,-2782.902832,1711.840576,-2811.908691,-5945.520996
,,,,,,-8,-70291.04688,-2708.397705,1854.695068,-2753.39502,-5735.794434
,,,,,,-7.75,-70387.42969,-2653.892578,2002.549683,-2700.881348,-5538.068359
,,,,,,-7.5,-70643.8125,-2635.387451,2138.404297,-2656.367676,-5324.341797
,,,,,,-7.25,-70996.19531,-2646.882324,2287.258789,-2629.854248,-5072.615234
,,,,,,-7,-71284.57813,-2652.376953,2475.113281,-2629.340576,-4792.888672
,,,,,,-6.75,-71540.96094,-2639.871826,2688.967773,-2644.826904,-4515.162598
,,,,,,-6.5,-71829.34375,-2627.366699,2908.822266,-2644.313232,-4269.436035
,,,,,,-6.25,-72117.72656,-2624.861572,3128.677002,-2635.799805,-4059.709717
,,,,,,-6,-72470.10938,-2622.356445,3323.531494,-2627.286133,-3869.983398
,,,,,,-5.75,-72822.49219,-2605.851074,3489.385986,-2600.772461,-3690.25708
,,,,,,-5.5,-73110.875,-2559.346191,3653.240479,-2534.258789,-3504.530762
,,,,,,-5.25,-73367.25781,-2484.84082,3822.095215,-2447.745117,-3302.804199
,,,,,,-5,-73719.64063,-2400.335693,3983.949707,-2363.231689,-3107.077881
,,,,,,-4.75,-74200.02344,-2321.830566,4122.804199,-2270.718018,-2941.351563
,,,,,,-4.5,-74872.40625,-2239.325439,4217.658691,-2160.204346,-2825.625
,,,,,,-4.25,-75576.78906,-2132.820068,4271.513184,-2051.690674,-2763.898926
,,,,,,-4,-76249.17188,-2008.315063,4298.367676,-1955.177124,-2750.172363
,,,,,,-3.75,-76825.55469,-1861.809814,4289.222168,-1842.663452,-2756.446045
,,,,,,-3.5,-77305.9375,-1687.304688,4220.077148,-1676.149902,-2778.719727
,,,,,,-3.25,-77690.32031,-1484.799561,4105.931641,-1465.63623,-2816.993164
,,,,,,-3,-77978.70313,-1272.294312,3984.785889,-1247.122559,-2873.266846
,,,,,,-2.75,-78203.08594,-1071.789063,3858.640625,-1042.609009,-2937.540527
,,,,,,-2.5,-78523.46875,-887.2839355,3722.495117,-858.0953369,-3001.813965
,,,,,,-2.25,-78939.85156,-718.7788086,3584.349609,-703.5817871,-3076.087891
,,,,,,-2,-79516.23438,-574.2736816,3452.204102,-577.0681152,-3176.361328
,,,,,,-1.75,-80124.61719,-445.7684326,3328.058594,-458.5545654,-3296.63501
,,,,,,-1.5,-80701,-297.2633057,3205.913086,-328.0408936,-3446.908691
,,,,,,-1.25,-81181.38281,-132.7580566,3085.767822,-175.5272217,-3639.182129
,,,,,,-1,-81597.76563,-0.252929688,2983.622314,-35.01367188,-3869.455811
,,,,,,-0.75,-81918.14844,72.25219727,2911.476807,59.5,-4133.729492
,,,,,,-0.5,-82174.53125,96.75744629,2869.331299,96.0135498,-4404.00293
,,,,,,-0.25,-82270.91406,97.26257324,2847.186035,90.52722168,-4650.276855
,,,,,,0,-82335.29688,91.7677002,2835.040527,79.04077148,-4880.550293
,,,,,,0.25,-82495.67969,130.2729492,2784.89502,131.5544434,-4982.824219
,,,,,,0.5,-80224.0625,368.7780762,2409.749512,446.0681152,-3973.097656
,,,,,,0.75,-62880.44531,847.2832031,1360.604126,1044.581787,-195.3710938
,,,,,,1,-17024.82422,1305.78833,-144.5412598,1543.095215,6184.355469
,,,,,,1.25,48510.78906,1530.293701,-1506.687012,1695.608887,12566.08203
,,,,,,1.5,110398.4063,1582.798828,-2456.83252,1640.122559,16883.80859
,,,,,,1.75,155742.0313,1555.303955,-3061.977539,1556.63623,19041.53516
,,,,,,2,185149.6406,1489.809082,-3434.123047,1489.149902,19799.25977
,,,,,,2.25,203229.25,1412.314209,-3649.268555,1417.66333,19816.98633
,,,,,,2.5,214172.875,1334.81958,-3744.414063,1334.177002,19466.71289
,,,,,,2.75,220668.5,1241.324707,-3754.55957,1246.690674,18978.43945
,,,,,,3,224348.125,1121.829834,-3722.705078,1149.204346,18466.16602
,,,,,,3.25,226011.7188,998.3349609,-3700.850586,1025.718018,17963.89258
,,,,,,3.5,226235.3438,888.8400879,-3720.996094,894.2314453,17481.61914
,,,,,,3.75,225498.9688,805.3452148,-3779.141602,788.7451172,17017.3457
,,,,,,4,224346.5938,739.8505859,-3857.287109,711.2587891,16545.07227
,,,,,,4.25,223066.1875,660.3557129,-3942.432129,625.7724609,16064.79883
,,,,,,4.5,221753.8125,562.8608398,-4024.577637,526.2861328,15632.52539
,,,,,,4.75,220281.4375,465.3659668,-4072.723145,428.7995605,15326.25
,,,,,,5,218617.0625,369.8710938,-4070.868652,329.3132324,15171.97656
,,,,,,5.25,216088.6563,252.3764648,-4020.01416,195.8269043,15015.70313
,,,,,,5.5,207096.2813,54.8815918,-3802.159668,-29.6595459,14043.42969
,,,,,,5.75,180823.9063,-306.6132813,-3206.305176,-395.145874,11053.15625
,,,,,,6,135607.5156,-752.1081543,-2305.450684,-814.6322021,6274.882813
,,,,,,6.25,85655.14063,-1035.603027,-1481.596191,-1070.118652,1564.608887
,,,,,,6.5,44598.75781,-1023.097778,-983.7414551,-1033.60498,-1811.664551
,,,,,,6.75,15094.375,-730.5926514,-824.8869629,-729.0914307,-3949.938232
,,,,,,7,-5962.007813,-220.0874023,-949.0324707,-222.5777588,-5392.211914
,,,,,,7.25,-21834.39453,386.4177246,-1262.177734,377.935791,-6504.485352
,,,,,,7.5,-34538.77734,972.9228516,-1638.323242,956.4494629,-7410.758789
,,,,,,7.75,-45099.15625,1545.427979,-1997.46875,1506.963135,-8185.032715
,,,,,,8,-54027.53906,2225.933105,-2421.614258,2167.476807,-8995.306641
,,,,,,8.25,-61611.92188,3222.438477,-3143.759766,3169.990234,-10059.58008
,,,,,,8.5,-68076.30469,4724.943359,-4365.905273,4696.503906,-11575.85352
,,,,,,8.75,-73676.6875,6709.449219,-6025.050781,6695.017578,-13548.12695
,,,,,,9,-78477.07031,8801.954102,-7727.196289,8791.53125,-15656.40039
,,,,,,9.25,-82637.45313,10430.45898,-8896.341797,10416.04492,-17334.67578
,,,,,,9.5,-86221.83594,11110.96387,-9065.487305,11090.55859,-18060.94922
,,,,,,9.75,-89262.21875,10755.46973,-8183.632813,10733.07227,-17725.22266
,,,,,,10,-91790.60156,9835.974609,-6749.77832,9813.585938,-16805.49609
,,,,,,10.25,-93966.98438,9132.479492,-5556.922852,9106.099609,-16085.76855
,,,,,,10.5,-95823.36719,9150.985352,-5115.068848,9130.613281,-16102.04199
,,,,,,10.75,-97423.75,9753.490234,-5247.213867,9737.126953,-16734.31641
,,,,,,11,-98736.13281,10313.99512,-5296.359375,10283.64063,-17356.58984
,,,,,,11.25,-99920.51563,10222.50098,-4692.505371,10182.15332,-17326.86328
,,,,,,11.5,-101072.8984,9277.005859,-3309.650391,9252.666992,-16397.13672
,,,,,,11.75,-102225.2813,7699.510742,-1417.795898,7697.180664,-14783.41016
,,,,,,12,-103281.6641,5806.016113,669.0583496,5811.694824,-12817.68457
,,,,,,12.25,-104210.0469,3694.520996,2894.913086,3702.208496,-10621.95801
,,,,,,12.5,-105010.4297,1245.026367,5400.767578,1260.721924,-8074.231445
,,,,,,12.75,-105618.8125,-1664.468506,8305.62207,-1636.764404,-5030.504883
,,,,,,13,-106131.1953,-5021.963379,11598.47656,-4988.250977,-1494.778564
,,,,,,13.25,-106483.5781,-8655.458008,15122.33105,-8621.737305,2356.947754
,,,,,,13.5,-106739.9609,-12316.95313,18621.18555,-12287.22363,6250.673828
,,,,,,13.75,-106836.3438,-15742.44824,21832.04102,-15716.70996,9902.400391
,,,,,,14,-106868.7266,-18703.94336,24553.89453,-18676.19727,13088.12695
,,,,,,14.25,-106837.1094,-21049.4375,26660.75,-21009.68359,15679.85352
,,,,,,14.5,-106741.4922,-22714.93164,28099.60352,-22653.16992,17611.58008
,,,,,,14.75,-106613.875,-23712.42773,28902.45898,-23628.65625,18857.30664
,,,,,,15,-106454.2578,-24123.92188,29158.3125,-24030.14258,19459.0332
,,,,,,15.25,-106326.6406,-24083.41602,28997.16797,-23997.62891,19520.75781
,,,,,,15.5,-106167.0234,-23722.91211,28549.02148,-23639.11523,19188.48438
,,,,,,15.75,-105975.4063,-23126.40625,27876.87695,-23034.60156,18568.21094
,,,,,,16,-105783.7891,-22329.90039,26986.73047,-22252.08789,17717.9375
,,,,,,16.25,-105592.1719,-21349.39648,25893.58594,-21307.57422,16687.66406
,,,,,,16.5,-105336.5547,-20222.89063,24640.43945,-20203.06055,15525.39063
,,,,,,16.75,-105016.9375,-19002.38477,23274.29492,-18970.54688,14215.11719
,,,,,,17,-104633.3203,-17717.88086,21844.14844,-17666.0332,12746.84375
,,,,,,17.25,-104217.7031,-16401.375,20403.00391,-16339.51953,11176.56934
,,,,,,17.5,-103802.0859,-15098.87012,19003.85938,-15039.00586,9598.295898
,,,,,,17.75,-103354.4688,-13872.36523,17701.71289,-13816.49219,8104.022461
,,,,,,18,-102970.8516,-12779.85938,16574.56641,-12741.97852,6773.749023
,,,,,,18.25,-102491.2344,-11863.35449,15665.42188,-11851.46484,5669.475586
,,,,,,18.5,-101883.6172,-11116.84961,14936.27637,-11128.95117,4803.201172
,,,,,,18.75,-101084,-10520.34473,14348.13086,-10532.4375,4120.927734
,,,,,,19,-100156.3828,-10051.83984,13908.98535,-10043.92383,3554.654297
,,,,,,19.25,-99260.76563,-9665.333984,13579.83984,-9629.410156,3066.380859
,,,,,,19.5,-98365.14063,-9288.828125,13297.69434,-9244.896484,2628.106934
,,,,,,19.75,-97469.53125,-8886.324219,13032.54883,-8844.382813,2209.833496
,,,,,,20,-96509.90625,-8455.818359,12794.40332,-8417.869141,1817.560059
,,,,,,20.25,-95390.29688,-8011.313477,12592.25879,-7975.355957,1455.286133
,,,,,,20.5,-94142.67188,-7562.808105,12425.11328,-7540.842285,1145.012695
,,,,,,20.75,-92767.0625,-7158.302734,12306.96777,-7164.328613,948.7392578
,,,,,,21,-91359.4375,-6873.797852,12295.82227,-6903.814941,938.465332
,,,,,,21.25,-89919.82813,-6747.29248,12436.67676,-6771.30127,1154.191895
,,,,,,21.5,-88512.20313,-6754.787598,12705.53125,-6754.787598,1553.917969
,,,,,,21.75,-87200.59375,-6840.282227,13028.38574,-6818.273926,2035.644531
,,,,,,22,-86048.96875,-6937.777344,13330.24023,-6901.760254,2517.371094
,,,,,,22.25,-85025.35938,-6997.271973,13570.09473,-6961.24707,2925.097168
,,,,,,22.5,-83969.73438,-6988.766602,13732.94922,-6960.733398,3180.82373
,,,,,,22.75,-82946.11719,-6916.261719,13801.80371,-6884.219727,3294.550293
,,,,,,23,-81922.5,-6795.756348,13772.6582,-6743.706055,3354.276367
,,,,,,23.25,-80930.88281,-6611.251465,13657.5127,-6557.192383,3376.00293
,,,,,,23.5,-80003.26563,-6356.746094,13486.36719,-6330.678711,3325.729004
,,,,,,23.75,-79107.64844,-6044.240723,13281.22168,-6054.165039,3179.455566
,,,,,,24,-78404.03125,-5685.73584,13045.07617,-5717.651367,2927.182129
,,,,,,24.25,-77860.41406,-5297.230469,12781.93066,-5329.137695,2576.908203
,,,,,,24.5,-77508.79688,-4882.725586,12486.78516,-4900.624023,2154.634766
,,,,,,24.75,-77253.17969,-4432.220215,12161.63965,-4440.110352,1682.361328
,,,,,,25,-77093.5625,-3951.715088,11819.49414,-3957.597168,1170.087402
,,,,,,25.25,-76997.94531,-3447.209961,11462.34961,-3453.083496,621.8139648
,,,,,,25.5,-77030.32813,-2918.70459,11076.20313,-2914.569824,35.54003906
,,,,,,25.75,-77094.71094,-2358.199463,10653.05859,-2334.056152,-580.7333984
,,,,,,26,-77191.09375,-1775.694336,10233.91211,-1735.542603,-1195.00708
,,,,,,26.25,-77319.47656,-1207.189209,9853.767578,-1175.028931,-1791.280518
,,,,,,26.5,-77607.85938,-662.68396,9497.62207,-652.5152588,-2391.554199
,,,,,,26.75,-77992.24219,-104.178833,9132.476563,-118.001709,-3027.827881
,,,,,,27,-78440.625,494.326416,8737.331055,460.5119629,-3680.101563
,,,,,,27.25,-78825.00781,1128.831543,8330.185547,1089.025635,-4306.375
,,,,,,27.5,-79145.39063,1777.33667,7947.040039,1743.539063,-4880.648926
,,,,,,27.75,-79465.77344,2415.841797,7594.894531,2394.052734,-5412.922363
,,,,,,28,-79818.15625,3034.347168,7262.749023,3024.566406,-5907.195801
,,,,,,28.25,-80266.53906,3628.852051,6937.603516,3625.080078,-6381.469727
,,,,,,28.5,-80778.92188,4217.357422,6604.458008,4213.59375,-6871.743164
,,,,,,28.75,-81323.30469,4831.862305,6251.3125,4816.107422,-7394.016602
,,,,,,29,-81867.6875,5472.367676,5868.166992,5432.621094,-7920.290527
,,,,,,29.25,-82444.07031,6120.873047,5460.021484,6075.134766,-8406.564453
,,,,,,29.5,-82988.45313,6769.37793,5047.876465,6733.648438,-8860.837891
,,,,,,29.75,-83436.83594,7397.882813,4637.730957,7376.162109,-9317.111328
,,,,,,30,-83821.21875,7996.388672,4230.585449,7978.675781,-9823.384766
,,,,,,30.25,-84141.60156,8578.893555,3837.439941,8557.189453,-10389.6582
,,,,,,30.5,-84493.98438,9157.398438,3480.294434,9137.702148,-10981.93164
